"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino:","Total:!!Not Hispanic or Latino:!!White alone","Total:!!Not Hispanic or Latino:!!Black or African American alone","Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Not Hispanic or Latino:!!Asian alone","Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Not Hispanic or Latino:!!Some other race alone","Total:!!Not Hispanic or Latino:!!Two or more races:","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Total:!!Hispanic or Latino:","Total:!!Hispanic or Latino:!!White alone","Total:!!Hispanic or Latino:!!Black or African American alone","Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Total:!!Hispanic or Latino:!!Asian alone","Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Hispanic or Latino:!!Some other race alone","Total:!!Hispanic or Latino:!!Two or more races:","Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","759,705","412,556","304,584","47,150","3,883","23,604","1,544","2,670","29,121","3,676","25,445","347,149","86,631","2,843","9,533","1,609","310","111,857","134,366","118,907","15,459"
"Congressional District 9 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","808,663","475,917","226,920","70,145","2,926","132,135","5,993","3,172","34,626","5,116","29,510","332,746","30,551","2,923","9,110","7,406","228","145,718","136,810","95,269","41,541"
"Congressional District 10 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","774,782","419,140","289,089","22,413","1,637","70,699","4,821","3,093","27,388","4,931","22,457","355,642","34,806","1,364","9,970","1,343","292","133,327","174,540","158,118","16,422"
"Congressional District 11 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","771,855","548,863","319,747","61,193","556","112,709","2,104","5,610","46,944","6,806","40,138","222,992","23,153","1,779","9,496","1,400","66","110,542","76,556","65,369","11,187"
"Congressional District 12 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","718,792","610,132","279,151","37,260","930","242,662","1,640","4,734","43,755","7,092","36,663","108,660","10,878","1,919","2,448","2,718","491","49,062","41,144","35,318","5,826"
"Congressional District 13 (116th Congress), California","","","","","","","","","","","","","","","","","","","","",""
