year,state_po,district,republican_victory,republican_president,midterm,pvi
2012,OH,14,True,False,False,3.25
2012,OH,15,True,False,False,6.54
2012,OH,16,True,False,False,5.15
2012,OK,1,True,False,False,16.93
2012,OK,2,True,False,False,16.6
2012,OK,3,True,False,False,25.1
2012,OK,4,True,False,False,18.79
2012,OK,5,True,False,False,12.93
2012,OR,1,False,False,False,-6.96
2012,OR,2,True,False,False,9.45
2012,OR,3,False,False,False,-21.03
2012,OR,4,False,False,False,-2.12
2012,OR,5,False,False,False,-0.56
2012,PA,1,False,False,False,-24.93
2012,PA,2,False,False,False,-38.03
2012,PA,3,True,False,False,5.88
2012,PA,4,True,False,False,8.73
2012,PA,5,True,False,False,6.13
2012,PA,6,True,False,False,0.56
2012,PA,7,True,False,False,0.27
2012,PA,8,True,False,False,-0.5
2012,PA,9,True,False,False,11.21
2012,PA,10,True,False,False,11.22
2012,PA,11,True,False,False,6.14
2012,PA,12,True,False,False,7.08
2012,PA,13,False,False,False,-12.04
2012,PA,14,False,False,False,-15.07
2012,PA,15,True,False,False,1.33
2012,PA,16,True,False,False,4.72
2012,PA,17,False,False,False,-4.02
2012,PA,18,True,False,False,7.8
2012,RI,1,False,False,False,-14.22
2012,RI,2,False,False,False,-7.73
2012,SC,1,True,False,False,10.61
2012,SC,2,True,False,False,16.05
2012,SC,3,True,False,False,17.19
2012,SC,4,True,False,False,15.22
2012,SC,5,True,False,False,9.3
2012,SC,6,False,False,False,-18.86
2012,SC,7,True,False,False,7.19
2012,SD,0,True,False,False,8.41
2012,TN,1,True,False,False,22.8
2012,TN,2,True,False,False,17.29
2012,TN,3,True,False,False,14.16
2012,TN,4,True,False,False,15.28
2012,TN,5,False,False,False,-4.65
2012,TN,6,True,False,False,17.12
2012,TN,7,True,False,False,15.13
2012,TN,8,True,False,False,16.97
2012,TN,9,False,False,False,-23.06
2012,TX,1,True,False,False,21.91
2012,TX,2,True,False,False,16.13
2012,TX,3,True,False,False,16.88
2012,TX,4,True,False,False,22.53
2012,TX,5,True,False,False,15.61
2012,TX,6,True,False,False,11.95
2012,TX,7,True,False,False,13.33
2012,TX,8,True,False,False,26.52
2012,TX,9,False,False,False,-22.04
2012,TX,10,True,False,False,10.6
2012,TX,11,True,False,False,29.49
