MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad,MedianAge,Hispanic,White,Black,NativeAmerican,Asian,republican_victory,republican_president,midterm,pvi
37986.81,2012,FL,24,20.6,79.39999999999999,34.9,31.5,13.3,52.5,0.1,1.4,False,False,False,-32.57
38759.49,2012,FL,25,24.200000000000003,75.8,38.6,71.8,19.3,6.4,0.1,1.6,True,False,False,7.25
43002.18,2012,FL,26,28.0,72.0,39.9,68.5,19.6,8.9,0.2,1.8,False,False,False,3.34
38717.19,2012,FL,27,29.9,70.2,40.6,72.0,19.4,6.3,0.0,1.5,True,False,False,4.93
43350.45,2012,GA,1,23.6,76.30000000000001,34.4,6.7,59.9,29.2,0.3,1.8,True,False,False,9.06
37601.88,2012,GA,2,16.4,83.5,35.5,4.4,41.4,51.2,0.1,1.0,False,False,False,-4.23
48461.7,2012,GA,3,24.1,75.80000000000001,38.0,5.5,67.2,23.1,0.5,1.8,True,False,False,19.17
46207.11,2012,GA,4,28.700000000000003,71.3,35.1,8.3,27.0,58.3,0.1,4.7,False,False,False,-18.29
46741.5,2012,GA,5,38.400000000000006,61.6,33.2,7.6,28.3,58.6,0.2,3.7,False,False,False,-31.19
67187.90999999999,2012,GA,6,58.0,42.0,36.9,12.3,63.4,12.2,0.2,9.5,True,False,False,13.73
54011.46,2012,GA,7,38.0,62.1,35.2,19.7,47.7,18.3,0.2,12.1,True,False,False,15.28
43437.87,2012,GA,8,19.5,80.60000000000001,35.7,6.3,60.3,30.3,0.1,1.5,True,False,False,15.11
40634.79,2012,GA,9,20.2,79.8,39.5,12.0,78.8,6.9,0.2,1.1,True,False,False,27.98
44192.22,2012,GA,10,23.3,76.7,35.5,5.8,65.9,24.5,0.2,2.1,True,False,False,12.8
55568.1,2012,GA,11,38.0,61.900000000000006,35.7,11.6,68.3,15.2,0.1,2.8,True,False,False,18.9
42625.71,2012,GA,12,20.200000000000003,79.8,34.7,5.6,56.7,34.0,0.2,1.5,False,False,False,9.39
45478.14,2012,GA,13,27.9,72.1,35.0,11.1,29.0,55.4,0.0,2.6,False,False,False,-12.5
42016.59,2012,GA,14,15.7,84.4,37.0,10.6,78.0,8.6,0.1,0.7,True,False,False,24.51
54806.7,2012,HI,1,34.0,66.1,39.0,8.0,16.9,2.0,0.2,49.8,False,False,False,-14.14
45737.58,2012,HI,2,25.9,73.9,37.2,10.9,28.6,1.5,0.1,25.1,False,False,False,-17.59
40954.86,2012,ID,1,23.8,76.2,36.6,10.4,84.7,0.4,1.1,1.0,True,False,False,17.93
41221.35,2012,ID,2,27.2,72.8,33.4,12.9,82.1,0.6,1.0,1.4,True,False,False,16.15
51625.74,2012,IL,1,26.3,73.60000000000001,37.4,8.9,36.0,52.0,0.1,1.5,False,False,False,-27.74
47172.96,2012,IL,2,20.9,79.1,37.2,13.3,29.6,54.7,0.1,0.6,False,False,False,-27.62
52119.24,2012,IL,3,25.0,75.0,37.5,29.2,60.7,4.3,0.0,4.3,False,False,False,-5.29
37128.12,2012,IL,4,19.0,81.0,31.4,70.6,21.3,4.2,0.0,3.0,False,False,False,-27.0
64927.67999999999,2012,IL,5,49.6,50.5,35.5,20.6,68.5,2.5,0.1,6.2,False,False,False,-16.68
71957.94,2012,IL,6,50.400000000000006,49.39999999999999,41.1,8.9,79.0,2.8,0.0,7.8,True,False,False,3.22
56834.28,2012,IL,7,38.0,61.9,32.9,14.7,26.1,50.7,0.1,6.8,False,False,False,-36.49
53274.03,2012,IL,8,32.9,67.30000000000001,35.4,28.1,53.4,4.8,0.1,11.3,False,False,False,-7.32
58747.65,2012,IL,9,51.3,48.7,39.4,10.6,65.0,8.6,0.1,13.5,False,False,False,-15.42
57401.1,2012,IL,10,42.3,57.8,37.1,22.8,60.1,6.2,0.2,8.9,False,False,False,-8.78
56277.33,2012,IL,11,34.1,65.9,34.4,26.8,53.6,10.5,0.1,6.9,False,False,False,-7.41
44073.78,2012,IL,12,21.6,78.4,38.5,2.9,77.1,16.4,0.2,1.1,False,False,False,-2.13
45784.11,2012,IL,13,29.0,71.0,36.0,3.3,79.8,10.9,0.1,3.5,True,False,False,-1.47
64018.23,2012,IL,14,38.6,61.5,37.7,10.8,79.9,3.4,0.1,4.4,True,False,False,4.64
44761.86,2012,IL,15,17.8,82.2,40.3,2.4,90.8,4.4,0.2,0.5,True,False,False,10.42
49399.35,2012,IL,16,20.5,79.5,39.5,8.5,84.8,3.8,0.1,1.3,True,False,False,3.37
42989.49,2012,IL,17,17.0,83.1,40.2,8.5,77.3,10.7,0.2,1.1,False,False,False,-6.78
52836.93,2012,IL,18,30.6,69.39999999999999,40.0,2.6,89.3,3.8,0.1,2.4,True,False,False,9.52
49321.8,2012,IN,1,20.4,79.6,38.1,14.4,63.3,19.2,0.2,1.4,False,False,False,-9.8
43398.39,2012,IN,2,20.5,79.5,37.3,8.5,81.5,6.7,0.3,1.1,True,False,False,5.23
45277.92,2012,IN,3,21.4,78.6,37.0,5.7,84.4,6.1,0.2,1.6,True,False,False,11.85
47705.94,2012,IN,4,22.8,77.10000000000001,36.3,5.5,87.0,3.6,0.1,2.3,True,False,False,10.7
57344.7,2012,IN,5,42.4,57.7,37.6,3.9,82.6,8.5,0.2,2.6,True,False,False,8.74
43805.88,2012,IN,6,18.1,81.9,39.7,2.1,92.4,2.2,0.2,1.0,True,False,False,10.63
42127.98,2012,IN,7,22.1,77.9,33.4,10.8,55.7,28.3,0.3,1.8,False,False,False,-11.18
