MedianAge,Hispanic,White,Black,NativeAmerican,Asian,year,state_po,district
36.3,5.5,87.0,3.6,0.1,2.3,2012,IN,4
37.6,3.9,82.6,8.5,0.2,2.6,2012,IN,5
39.7,2.1,92.4,2.2,0.2,1.0,2012,IN,6
33.4,10.8,55.7,28.3,0.3,1.8,2012,IN,7
39.4,2.2,91.1,4.0,0.1,0.9,2012,IN,8
37.2,3.2,90.4,2.5,0.1,2.0,2012,IN,9
38.6,3.4,90.1,3.1,0.2,1.3,2012,IA,1
37.9,5.1,87.5,3.6,0.1,2.0,2012,IA,2
36.6,6.3,85.2,3.6,0.2,2.5,2012,IA,3
39.4,6.1,89.3,1.2,0.3,1.4,2012,IA,4
35.0,14.7,78.3,3.1,0.4,1.5,2012,KS,1
37.3,6.0,83.5,4.0,1.3,1.4,2012,KS,2
36.0,11.6,73.1,8.7,0.4,3.9,2012,KS,3
35.8,11.4,74.9,6.8,1.1,3.1,2012,KS,4
39.8,2.5,87.9,6.6,0.2,0.6,2012,KY,1
38.1,2.9,87.9,5.6,0.2,1.3,2012,KY,2
37.9,4.6,69.5,21.0,0.1,2.4,2012,KY,3
38.0,3.0,90.9,3.3,0.1,1.0,2012,KY,4
40.2,0.8,96.1,1.4,0.1,0.5,2012,KY,5
36.5,4.4,83.0,8.6,0.2,1.8,2012,KY,6
38.1,7.8,73.3,13.3,1.0,2.4,2012,LA,1
35.2,6.2,28.8,61.2,0.3,2.2,2012,LA,2
35.5,3.2,68.5,24.3,0.3,1.4,2012,LA,3
36.3,3.5,59.0,33.8,0.8,0.9,2012,LA,4
36.5,2.0,60.6,35.5,0.3,0.6,2012,LA,5
34.8,4.3,68.2,23.8,0.2,1.9,2012,LA,6
43.3,1.6,93.5,1.2,0.3,1.5,2012,ME,1
43.7,1.2,94.7,0.8,0.8,0.7,2012,ME,2
42.3,3.4,80.8,11.6,0.2,1.8,2012,MD,1
36.3,5.8,54.0,31.9,0.3,5.3,2012,MD,2
37.4,6.9,61.8,21.0,0.2,7.2,2012,MD,3
35.7,15.7,26.7,52.0,0.2,3.1,2012,MD,4
37.8,6.8,49.1,36.5,0.2,3.9,2012,MD,5
38.5,12.5,62.5,11.8,0.2,9.8,2012,MD,6
37.5,3.8,33.2,54.5,0.2,6.0,2012,MD,7
39.6,14.3,62.6,11.3,0.2,8.8,2012,MD,8
41.3,15.8,74.8,5.7,0.1,1.9,2012,MA,1
38.1,9.0,79.9,4.1,0.2,5.0,2012,MA,2
39.8,16.7,71.5,2.5,0.2,6.8,2012,MA,3
40.3,3.8,85.3,2.5,0.0,6.2,2012,MA,4
38.8,7.8,75.0,4.7,0.1,9.9,2012,MA,5
42.3,8.0,83.5,2.7,0.0,3.9,2012,MA,6
31.3,20.6,43.1,23.8,0.1,9.3,2012,MA,7
39.5,4.9,76.6,8.9,0.1,7.0,2012,MA,8
44.5,4.7,88.3,2.5,0.2,1.3,2012,MA,9
45.6,1.4,91.6,1.6,2.5,0.7,2012,MI,1
37.1,8.9,80.5,5.8,0.6,2.0,2012,MI,2
36.2,7.0,79.9,8.6,0.4,1.5,2012,MI,3
40.6,3.0,92.0,1.7,0.6,1.0,2012,MI,4
40.5,4.4,74.5,17.6,0.4,0.7,2012,MI,5
38.9,5.5,81.7,8.3,0.5,1.5,2012,MI,6
41.3,4.0,88.6,4.0,0.4,0.7,2012,MI,7
38.0,4.5,83.3,6.0,0.3,3.5,2012,MI,8
41.4,2.6,79.8,10.9,0.3,3.6,2012,MI,9
41.5,2.9,90.6,3.1,0.2,1.4,2012,MI,10
40.6,3.2,80.8,5.1,0.2,8.1,2012,MI,11
35.8,5.3,75.8,11.1,0.2,4.8,2012,MI,12
36.0,7.1,33.3,56.1,0.3,1.0,2012,MI,13
38.7,4.5,32.0,56.2,0.3,4.3,2012,MI,14
37.7,5.9,87.6,2.6,0.1,2.2,2012,MN,1
37.1,5.6,83.6,3.8,0.4,4.4,2012,MN,2
39.7,4.3,80.2,6.6,0.3,6.2,2012,MN,3
35.7,6.3,69.8,9.2,0.3,11.1,2012,MN,4
33.2,9.2,64.2,15.9,0.9,6.0,2012,MN,5
36.0,2.4,90.8,2.2,0.5,2.1,2012,MN,6
41.0,4.0,90.2,0.6,2.8,0.8,2012,MN,7
42.6,1.4,92.6,0.9,2.7,0.6,2012,MN,8
36.7,3.2,67.8,27.0,0.2,0.4,2012,MS,1
34.9,1.6,32.2,64.9,0.2,0.5,2012,MS,2
37.0,2.2,59.5,35.6,1.0,0.9,2012,MS,3
36.1,3.8,69.7,23.5,0.1,1.3,2012,MS,4
35.0,3.1,42.2,49.0,0.2,2.7,2012,MO,1
42.2,2.7,87.6,3.7,0.0,4.1,2012,MO,2
38.4,2.1,91.7,3.3,0.2,1.0,2012,MO,3
36.5,3.3,87.7,3.7,0.6,1.4,2012,MO,4
36.8,8.4,65.3,21.9,0.5,1.4,2012,MO,5
38.4,3.7,88.3,4.0,0.4,1.3,2012,MO,6
37.5,4.6,89.2,1.7,1.0,1.1,2012,MO,7
40.6,1.6,91.4,4.7,0.4,0.5,2012,MO,8
40.2,3.1,87.2,0.3,6.2,0.6,2012,MT,0
35.2,8.0,84.3,2.3,1.2,2.2,2012,NE,1
33.8,10.7,73.8,10.1,0.4,2.8,2012,NE,2
40.9,10.2,86.1,0.9,0.6,0.9,2012,NE,3
36.3,44.5,35.2,9.3,0.4,7.4,2012,NV,1
38.7,21.4,68.1,1.6,2.0,4.0,2012,NV,2
37.3,16.6,58.5,7.1,0.4,12.4,2012,NV,3
35.0,27.3,48.7,13.7,0.8,5.6,2012,NV,4
42.1,2.9,91.9,1.4,0.1,2.2,2012,NH,1
41.8,3.2,91.7,0.8,0.2,2.3,2012,NH,2
38.4,12.3,64.3,16.4,0.1,5.0,2012,NJ,1
41.5,15.3,66.8,12.0,0.3,3.5,2012,NJ,2
42.7,6.7,77.3,10.1,0.1,3.5,2012,NJ,3
41.2,10.7,78.5,5.7,0.0,3.6,2012,NJ,4
42.8,12.7,71.6,4.6,0.1,9.6,2012,NJ,5
37.0,20.2,50.7,9.0,0.2,18.3,2012,NJ,6
41.8,11.9,73.2,3.9,0.0,9.0,2012,NJ,7
33.6,54.7,25.5,8.9,0.2,8.0,2012,NJ,8
36.9,34.8,41.3,9.4,0.2,12.0,2012,NJ,9
36.3,17.2,20.9,52.2,0.1,7.1,2012,NJ,10
43.2,9.1,76.2,3.9,0.1,9.2,2012,NJ,11
38.7,15.4,49.3,17.6,0.1,15.1,2012,NJ,12
37.2,49.2,40.8,2.4,3.5,2.0,2012,NM,1
35.5,52.2,39.0,1.6,5.3,0.7,2012,NM,2
37.6,39.5,39.2,1.5,17.2,1.2,2012,NM,3
41.1,12.7,77.5,4.6,0.2,3.7,2012,NY,1
39.3,22.1,64.3,9.1,0.1,3.2,2012,NY,2
43.8,10.3,71.0,3.0,0.1,13.0,2012,NY,3
40.9,18.8,59.3,13.9,0.2,6.2,2012,NY,4
36.3,19.2,11.1,48.3,0.3,12.8,2012,NY,5
40.3,20.1,36.6,3.4,0.1,37.1,2012,NY,6
32.4,43.7,27.1,8.2,0.1,18.8,2012,NY,7
35.7,17.5,22.8,53.8,0.1,4.3,2012,NY,8
35.5,10.8,30.3,50.6,0.2,5.9,2012,NY,9
36.2,12.4,65.5,3.2,0.2,16.7,2012,NY,10
38.5,15.6,62.7,6.9,0.1,13.2,2012,NY,11
36.0,12.1,69.0,4.3,0.0,12.1,2012,NY,12
34.4,54.6,12.5,25.8,0.1,5.0,2012,NY,13
35.5,48.1,24.4,8.9,0.2,16.4,2012,NY,14
30.0,66.4,2.6,27.8,0.2,1.9,2012,NY,15
39.4,23.6,38.1,31.6,0.2,4.8,2012,NY,16
38.8,20.7,61.6,10.0,0.1,5.5,2012,NY,17
39.4,15.3,71.0,8.1,0.2,3.2,2012,NY,18
43.6,6.7,85.3,4.2,0.1,1.4,2012,NY,19
38.9,5.8,78.4,8.5,0.1,3.9,2012,NY,20
39.8,2.9,90.7,2.9,0.8,0.9,2012,NY,21
40.8,3.3,88.7,3.3,0.2,2.4,2012,NY,22
39.8,3.5,89.4,2.6,0.5,2.3,2012,NY,23
40.1,3.9,83.2,7.9,0.6,2.2,2012,NY,24
38.2,7.9,71.3,15.0,0.2,3.5,2012,NY,25
38.7,5.7,70.8,17.7,0.3,3.5,2012,NY,26
43.3,2.5,92.2,2.4,0.7,0.8,2012,NY,27
36.9,7.7,35.1,53.0,0.6,1.3,2012,NC,1
35.9,11.7,65.2,15.8,1.0,3.3,2012,NC,2
35.1,7.1,71.2,18.0,0.3,1.2,2012,NC,3
32.0,10.6,48.3,32.3,0.4,5.4,2012,NC,4
40.4,8.7,76.0,12.2,0.2,1.5,2012,NC,5
41.6,6.1,74.5,15.5,0.4,2.1,2012,NC,6
40.7,9.3,69.1,17.2,1.7,0.7,2012,NC,7
38.4,8.8,63.1,18.4,6.9,1.1,2012,NC,8
37.5,8.0,73.2,12.6,0.3,3.5,2012,NC,9
41.1,5.9,78.9,11.6,0.2,1.4,2012,NC,10
44.0,5.4,87.0,3.4,1.5,1.1,2012,NC,11
31.4,14.5,28.4,49.2,0.3,5.1,2012,NC,12
39.0,8.4,70.3,16.7,0.2,2.1,2012,NC,13
36.2,2.4,88.1,1.4,5.2,1.0,2012,ND,0
36.4,3.0,70.3,21.4,0.2,2.9,2012,OH,1
39.8,1.5,86.5,8.7,0.1,1.1,2012,OH,2
32.5,6.8,54.0,32.2,0.2,2.9,2012,OH,3
40.4,3.3,88.8,5.1,0.2,0.7,2012,OH,4
39.4,4.3,90.0,2.9,0.1,1.3,2012,OH,5
42.7,0.8,94.9,2.3,0.2,0.3,2012,OH,6
40.9,1.8,91.7,3.8,0.1,0.5,2012,OH,7
39.0,3.0,87.3,5.8,0.2,1.5,2012,OH,8
38.1,10.3,69.4,15.9,0.2,1.3,2012,OH,9
39.1,2.4,75.7,17.0,0.1,2.1,2012,OH,10
38.1,3.8,38.4,53.5,0.2,1.9,2012,OH,11
38.5,1.9,87.7,4.1,0.1,3.5,2012,OH,12
40.6,3.0,82.2,11.0,0.1,1.2,2012,OH,13
43.3,2.4,89.4,4.3,0.1,2.3,2012,OH,14
37.2,1.6,90.2,3.6,0.1,2.2,2012,OH,15
42.9,1.9,92.4,2.4,0.2,1.8,2012,OH,16
36.2,10.3,66.3,8.4,5.4,2.3,2012,OK,1
39.4,4.5,65.3,3.5,15.8,0.5,2012,OK,2
36.9,8.7,75.6,3.4,5.5,1.3,2012,OK,3
35.1,8.0,72.4,6.7,4.8,2.2,2012,OK,4
34.6,15.1,59.2,13.1,3.9,3.0,2012,OK,5
36.9,14.1,72.7,1.4,0.5,6.8,2012,OR,1
41.6,12.8,81.2,0.5,1.5,0.8,2012,OR,2
36.8,10.7,72.8,5.1,0.7,6.2,2012,OR,3
40.9,7.2,85.1,0.7,1.3,2.3,2012,OR,4
39.3,15.9,76.5,0.7,0.8,2.6,2012,OR,5
33.6,15.7,41.4,33.6,0.2,7.0,2012,PA,1
33.4,5.9,28.6,57.7,0.2,4.6,2012,PA,2
41.9,1.9,91.0,4.5,0.1,0.8,2012,PA,3
40.5,6.7,82.5,7.2,0.1,1.7,2012,PA,4
40.3,1.8,92.9,2.1,0.2,1.5,2012,PA,5
40.6,5.5,84.9,3.9,0.0,4.0,2012,PA,6
41.6,2.8,86.0,5.5,0.1,4.1,2012,PA,7
42.4,4.3,85.9,3.6,0.0,4.5,2012,PA,8
41.8,1.9,93.1,3.0,0.1,0.5,2012,PA,9
42.6,3.8,91.2,2.6,0.1,0.9,2012,PA,10
42.8,4.7,87.1,4.9,0.2,1.8,2012,PA,11
44.5,1.4,92.5,3.1,0.1,1.3,2012,PA,12
38.2,11.3,60.5,17.7,0.1,8.0,2012,PA,13
38.8,1.9,71.3,21.1,0.1,2.9,2012,PA,14
40.3,14.0,77.5,4.2,0.1,2.6,2012,PA,15
37.4,17.3,73.4,5.7,0.0,1.8,2012,PA,16
42.2,7.7,83.4,5.6,0.1,1.6,2012,PA,17
44.6,1.3,93.0,2.3,0.1,1.8,2012,PA,18
38.2,15.3,71.1,6.6,0.2,2.8,2012,RI,1
41.1,11.0,79.8,3.3,0.5,3.5,2012,RI,2
37.7,6.7,69.2,19.6,0.4,1.6,2012,SC,1
38.2,5.2,68.0,22.6,0.2,1.7,2012,SC,2
40.0,4.6,74.5,18.5,0.2,0.8,2012,SC,3
37.8,7.6,69.2,19.0,0.2,2.2,2012,SC,4
38.6,3.9,66.1,26.5,0.3,0.8,2012,SC,5
34.9,4.7,36.3,56.4,0.2,0.8,2012,SC,6
40.7,4.1,63.5,29.7,0.5,0.8,2012,SC,7
36.7,3.0,83.8,1.5,8.5,1.1,2012,SD,0
42.2,3.4,92.0,2.1,0.3,0.7,2012,TN,1
39.7,3.6,86.6,6.6,0.2,1.3,2012,TN,2
40.8,3.4,82.6,11.1,0.2,1.2,2012,TN,3
37.4,5.5,82.4,8.0,0.2,1.2,2012,TN,4
34.3,9.1,60.6,25.1,0.2,3.0,2012,TN,5
40.6,3.7,89.6,4.5,0.2,0.6,2012,TN,6
37.0,4.5,81.6,9.9,0.3,1.6,2012,TN,7
39.6,2.9,74.9,18.7,0.2,2.0,2012,TN,8
32.7,6.8,24.7,65.1,0.1,1.6,2012,TN,9
36.5,16.2,63.7,17.9,0.3,1.0,2012,TX,1
34.0,31.7,48.8,10.5,0.1,7.0,2012,TX,2
35.6,14.9,60.7,9.0,0.3,12.6,2012,TX,3
38.9,12.5,73.3,10.5,0.6,1.1,2012,TX,4
34.5,27.1,54.7,14.5,0.2,2.0,2012,TX,5
34.3,20.3,54.0,18.9,0.3,4.5,2012,TX,6
35.0,30.9,45.5,11.6,0.2,9.8,2012,TX,7
36.4,21.0,66.6,8.3,0.2,2.2,2012,TX,8
31.8,40.2,10.8,36.6,0.1,10.6,2012,TX,9
35.7,26.1,58.3,9.7,0.2,4.0,2012,TX,10
36.4,35.1,59.2,3.8,0.2,0.7,2012,TX,11
35.0,22.2,63.4,8.8,0.5,3.5,2012,TX,12
35.5,25.4,65.5,4.8,0.5,1.7,2012,TX,13
37.2,22.1,52.9,20.1,0.2,3.0,2012,TX,14
30.0,80.6,15.9,1.7,0.1,1.2,2012,TX,15
31.7,79.0,15.0,3.4,0.2,1.1,2012,TX,16
