MedianEarnings,year,state_po,district,CollegeGrad,NonCollegeGrad
48716.909999999996,2012,MN,1,26.6,73.39999999999999
61076.969999999994,2012,MN,2,36.8,63.099999999999994
66487.14,2012,MN,3,47.0,53.10000000000001
57361.619999999995,2012,MN,4,41.6,58.4
52241.909999999996,2012,MN,5,43.3,56.699999999999996
57860.759999999995,2012,MN,6,27.1,72.69999999999999
44737.89,2012,MN,7,20.8,79.19999999999999
44296.56,2012,MN,8,21.5,78.6
42690.57,2012,MS,1,19.2,80.69999999999999
36375.18,2012,MS,2,17.7,82.3
43788.96,2012,MS,3,25.4,74.60000000000001
42350.759999999995,2012,MS,4,20.0,80.0
43306.74,2012,MO,1,28.4,71.6
62551.829999999994,2012,MO,2,46.6,53.3
46594.86,2012,MO,3,23.2,76.7
42683.52,2012,MO,4,24.1,75.9
44475.63,2012,MO,5,25.0,74.9
47146.17,2012,MO,6,25.9,74.1
38834.22,2012,MO,7,22.4,77.49999999999999
37608.93,2012,MO,8,14.600000000000001,85.4
42151.95,2012,MT,0,29.4,70.60000000000001
49383.84,2012,NE,1,29.0,71.0
51976.829999999994,2012,NE,2,37.8,62.1
42876.689999999995,2012,NE,3,20.2,79.7
37469.34,2012,NV,1,14.0,86.10000000000001
45380.85,2012,NV,2,24.0,76.0
55500.42,2012,NV,3,30.4,69.5
45858.84,2012,NV,4,20.2,79.9
56285.78999999999,2012,NH,1,33.4,66.6
56825.82,2012,NH,2,35.7,64.3
58983.119999999995,2012,NJ,1,29.1,71.0
49372.56,2012,NJ,2,23.5,76.4
66172.70999999999,2012,NJ,3,31.400000000000002,68.5
65605.89,2012,NJ,4,37.4,62.800000000000004
72065.09999999999,2012,NJ,5,45.900000000000006,54.2
64678.10999999999,2012,NJ,6,37.599999999999994,62.4
77299.01999999999,2012,NJ,7,49.7,50.4
50117.03999999999,2012,NJ,8,29.099999999999998,71.0
56814.53999999999,2012,NJ,9,31.7,68.2
50829.09,2012,NJ,10,26.1,73.9
79528.23,2012,NJ,11,49.9,50.1
67856.25,2012,NJ,12,42.3,57.800000000000004
46558.2,2012,NM,1,31.0,69.1
36837.659999999996,2012,NM,2,19.9,80.0
